Performance_ID,Run_Scored,Balls_Faced,No_of_boundaries,MOM,Wickets_taken,Player_ID,Match_Num
10752,13,17,0,No,0,1157,41
10753,40,24,5,No,0,1153,41
10754,29,20,2,No,0,1159,41
10755,21,10,3,No,0,1151,41
10756,2,3,0,No,0,1148,41
10757,13,7,1,No,0,1160,41
10758,0,0,0,No,0,1012,41
10759,0,0,0,No,0,1144,41
10760,124,62,24,Yes,0,1167,42
10761,18,19,3,No,0,1166,42
10762,14,10,2,No,0,1165,42
10763,2,4,0,No,0,1171,42
10764,11,9,1,No,0,1181,42
10765,8,9,1,No,0,1170,42
10766,2,3,0,No,0,1179,42
10767,8,5,1,No,0,1168,42
10768,0,0,0,No,3,1169,42
10769,3,5,0,No,0,1120,42
10770,28,23,4,No,0,1123,42
10771,44,26,6,No,0,1135,42
10772,29,21,4,No,0,1125,42
10773,55,29,10,No,0,1122,42
10774,45,14,7,No,0,1126,42
10775,0,0,0,No,1,1137,42
10776,0,0,0,No,1,1176,42
10777,31,30,3,No,0,1189,43
10778,44,40,2,Yes,0,1192,43
10779,9,11,0,No,0,1197,43
10780,4,5,0,No,0,1190,43
10781,3,4,0,No,0,1200,43
10782,16,11,2,No,0,1195,43
10783,6,7,0,No,0,1202,43
10784,8,7,1,No,1,1194,43
10785,2,2,0,No,2,1203,43
10786,0,1,0,No,1,1191,43
10787,1,2,0,No,2,1199,43
10788,0,2,0,No,0,1108,43
10789,4,11,0,No,0,1107,43
10790,14,11,3,No,1,1101,43
10791,1,2,0,No,1,1100,43
10792,13,19,1,No,0,1097,43
10793,9,7,1,No,0,1110,43
10794,23,13,3,No,0,1104,43
10795,5,10,0,No,1,1098,43
10796,19,30,2,No,0,1115,43
10797,13,13,2,No,1,1117,43
10798,0,3,0,No,0,1096,43
10799,0,1,0,No,0,1045,44
10800,2,2,0,No,0,1030,44
10801,10,14,0,No,0,1033,44
10802,8,6,2,No,0,1049,44
10803,1,4,0,No,0,1048,44
10804,27,30,3,No,1,1027,44
10805,51,44,6,No,0,1044,44
10806,23,13,3,No,0,1039,44
10807,3,6,0,No,2,1029,44
10808,0,1,0,No,2,1035,44
10809,0,6,0,No,0,1055,44
10810,6,7,1,No,0,1051,44
10811,59,53,7,No,0,1050,44
10812,6,9,1,No,0,1059,44
10813,0,3,0,No,0,1052,44
10814,26,33,1,No,0,1053,44
10815,20,7,3,No,0,1058,44
10816,3,2,0,No,2,1057,44
10817,0,0,0,Yes,3,1060,44
10818,0,0,0,No,2,1037,44
10819,10,11,1,No,0,1105,45
10820,14,17,2,No,0,1108,45
10821,9,16,0,No,0,1109,45
10822,0,1,0,No,0,1101,45
10823,6,4,1,No,0,1097,45
10824,20,31,0,No,0,1110,45
10825,59,33,6,Yes,0,1107,45
10826,1,3,0,No,0,1104,45
10827,0,0,0,No,1,1098,45
10828,0,0,0,No,0,1111,45
10829,9,7,1,No,0,1150,46
10830,30,20,5,No,0,1145,46
10831,27,26,3,No,0,1147,46
10832,82,42,11,No,0,1153,46
10833,49,27,7,No,0,1151,46
10834,0,3,0,No,0,1120,46
10835,75,41,11,Yes,0,1123,46
10836,23,18,4,No,0,1135,46
10837,66,31,10,No,0,1122,46
10838,19,10,3,No,0,1126,46
10839,26,10,4,No,0,1125,46
10840,0,0,0,No,1,1144,46
10841,0,0,0,No,1,1137,46
10842,20,19,4,No,0,1093,47
10843,0,1,0,No,0,1084,47
10844,7,4,1,No,0,1075,47
10845,42,31,6,No,0,1074,47
10846,46,35,5,No,0,1083,47
10847,24,15,3,No,0,1076,47
10848,1,2,0,No,1,1077,47
10849,8,6,1,No,0,1085,47
10850,13,7,2,No,0,1082,47
10851,0,1,0,No,0,1080,47
10852,2,1,0,No,0,1088,47
10853,9,10,1,No,0,1216,47
10854,18,11,3,No,0,1225,47
10855,20,9,4,No,0,1215,47
10856,41,40,4,No,0,1220,47
10857,0,4,0,No,0,1224,47
10858,36,20,4,No,0,1226,47
10859,21,18,3,No,0,1212,47
10860,1,4,0,No,1,1221,47
10861,5,5,1,No,2,1219,47
10862,1,2,0,No,0,1228,47
10863,0,0,0,No,2,1223,47
10864,0,0,0,Yes,2,1081,47
10865,14,11,2,No,0,1167,48
10866,8,6,2,No,0,1166,48
10867,30,20,4,No,0,1165,48
10868,12,12,1,No,0,1171,48
10869,2,6,0,No,1,1168,48
10870,4,6,0,No,1,1172,48
10871,7,13,0,No,0,1170,48
10872,9,8,1,No,0,1179,48
10873,15,11,2,No,2,1169,48
10874,7,9,0,No,1,1184,48
10875,2,5,0,No,2,1174,48
10876,41,34,5,No,0,1055,48
10877,36,35,6,No,0,1051,48
10878,39,15,6,No,0,1050,48
10879,0,0,0,No,0,1060,48
10880,0,0,0,Yes,3,1057,48
10881,6,4,1,No,1,1135,49
10882,7,9,1,No,0,1123,49
10883,0,3,0,No,0,1120,49
10884,64,51,9,No,0,1141,49
10885,26,22,3,No,0,1122,49
10886,20,21,2,No,0,1131,49
10887,2,4,0,No,1,1126,49
10888,1,2,0,No,2,1127,49
10889,3,2,0,No,1,1143,49
10890,2,2,0,No,1,1137,49
10891,30,16,6,No,0,1003,49
10892,44,42,4,No,0,1002,49
10893,21,17,2,No,0,1019,49
10894,12,11,1,No,0,1004,49
10895,26,18,3,No,0,1007,49
10896,2,3,0,No,0,1001,49
10897,0,0,0,No,3,1014,49
10898,0,0,0,No,2,1133,49
10899,22,14,4,No,0,1030,50
10900,87,45,14,Yes,0,1045,50
10901,26,17,4,No,0,1031,50
10902,35,22,4,No,0,1049,50
10903,8,3,1,No,1,1027,50
10904,55,46,5,No,0,1189,50
10905,45,32,6,No,0,1192,50
10906,0,1,0,No,0,1190,50
10907,54,29,9,No,0,1200,50
10908,11,9,1,No,0,1195,50
10909,8,3,1,No,0,1197,50
10910,0,0,0,No,1,1191,50
10911,0,0,0,No,1,1036,50
10912,81,43,14,No,0,1055,51
10913,94,51,9,Yes,0,1051,51
10914,25,15,3,No,0,1050,51
10915,21,12,3,No,0,1052,51
10916,48,32,9,No,0,1108,51
10917,70,41,10,No,0,1099,51
10918,11,11,0,No,0,1100,51
10919,4,9,0,No,0,1097,51
10920,3,6,0,No,0,1110,51
10921,21,11,3,No,0,1107,51
10922,2,4,0,No,0,1116,51
10923,0,1,0,No,0,1101,51
10924,4,5,1,No,0,1098,51
10925,0,0,0,No,0,1060,51
10926,0,0,0,No,0,1111,51
10927,35,18,7,No,0,1167,52
10928,95,59,14,No,0,1166,52
10929,66,38,9,No,0,1165,52
10930,7,5,0,No,0,1170,52
10931,33,25,5,No,0,1235,52
10932,55,34,7,No,0,1216,52
10933,47,29,5,No,0,1215,52
10934,26,12,4,No,0,1226,52
10935,6,5,1,No,0,1220,52
10936,25,7,4,Yes,0,1222,52
10937,17,7,2,No,0,1212,52
10938,3,2,0,No,1,1221,52
10939,0,0,0,No,1,1176,52
10940,0,0,0,No,1,1223,52
10941,12,8,3,No,0,1150,53
10942,57,47,10,No,0,1145,53
10943,0,3,0,No,0,1158,53
10944,15,9,3,No,0,1153,53
10945,21,18,2,No,0,1151,53
10946,4,9,0,No,0,1159,53
10947,19,11,2,No,2,1154,53
10948,21,8,4,No,0,1148,53
10949,17,9,3,No,0,1149,53
10950,38,24,8,No,0,1093,53
10951,15,12,2,No,0,1084,53
10952,51,38,7,No,0,1074,53
10953,11,13,0,No,0,1075,53
10954,42,23,6,Yes,1,1076,53
10955,21,10,3,No,0,1083,53
10956,0,0,0,No,0,1085,53
10957,0,0,0,No,1,1144,53
10958,0,0,0,No,1,1081,53
10959,1,4,0,No,0,1189,54
10960,65,41,8,No,0,1192,54
10961,6,4,1,No,0,1197,54
10962,68,33,12,No,0,1190,54
10963,1,3,0,No,0,1200,54
10964,38,18,5,No,0,1195,54
10966,12,8,2,No,2,1194,54
10967,42,21,8,No,0,1123,54
10968,7,8,1,No,0,1120,54
10969,83,35,13,Yes,0,1122,54
10970,52,34,7,No,0,1141,54
10971,0,1,0,No,0,1126,54
10972,2,2,0,No,0,1135,54
10973,0,0,0,No,1,1191,54
10974,0,0,0,No,2,1137,54
10975,24,18,4,No,0,1003,55
10976,10,13,1,No,0,1002,55
10977,21,20,2,No,0,1019,55
10978,7,12,0,No,1,1006,55
10979,25,12,3,No,0,1007,55
10980,23,17,2,No,0,1004,55
10981,21,16,2,Yes,2,1011,55
10982,20,9,3,No,0,1001,55
10983,1,2,0,No,0,1016,55
10984,0,1,0,No,1,1012,55
10985,0,2,0,No,0,1030,55
10986,17,11,3,No,0,1045,55
10987,5,4,1,No,0,1031,55
10988,27,29,3,No,0,1048,55
10989,35,37,3,No,0,1049,55
10990,10,16,0,No,0,1039,55
10991,21,12,3,No,1,1027,55
10992,2,3,0,No,0,1044,55
10993,12,5,3,No,0,1038,55
10994,0,1,0,No,2,1035,55
10995,0,0,0,No,2,1008,55
10996,0,0,0,No,1,1036,55
10997,10,8,2,No,0,1093,56
10998,18,12,3,No,0,1084,56
10999,57,42,6,No,0,1075,56
11000,22,17,2,No,0,1074,56
11001,10,10,1,No,0,1076,56
11002,16,18,1,No,0,1083,56
11003,1,2,0,No,0,1085,56
11004,6,6,0,No,0,1082,56
11005,6,5,1,No,0,1077,56
11006,98,47,18,Yes,0,1167,56
11007,0,3,0,No,0,1166,56
11008,48,29,7,No,0,1165,56
11009,0,0,0,No,1,1176,56
11010,0,0,0,No,0,1081,56
11011,31,20,5,No,0,1123,57
11012,29,18,5,No,0,1120,57
11013,103,49,17,Yes,0,1122,57
11014,15,7,2,No,0,1141,57
